Type,Trans Date,Post Date,Description,Amount
SALE,01/14/2015,01/16/2015,"CCI MITRE CORP",-3.21
RETURN,01/14/2015,01/14/2015,"APL* ITUNES.COM/BILL",5.30
SALE,01/08/2015,01/11/2015,"CCI MITRE CORP",-6.37
SALE,01/12/2015,01/14/2015,"AVANTI MARKETS",-3.15
SALE,01/12/2015,01/14/2015,"MACY*S .COM #0129",-93.91
SALE,12/31/2014,01/01/2015,"LAMBERT'S RAINBOW",-12.97
SALE,12/31/2014,01/01/2015,"ASHMONT MARKET & LIQUORS",-16.00
RETURN,01/14/2015,01/14/2015,"APL* ITUNES.COM/BILL",5.30
SALE,01/01/2015,01/02/2015,"STOP & SHOP 0018",-17.57
SALE,01/07/2015,01/09/2015,"CCI MITRE CORP",-3.32
SALE,01/13/2015,01/15/2015,"CCI MITRE CORP",-3.32
SALE,01/10/2015,01/11/2015,"APL* ITUNES.COM/BILL",-5.30
SALE,01/11/2015,01/12/2015,"GROUPON INC",-34.00
SALE,01/13/2015,01/15/2015,"MORRISSEY BLVD WINE &",-20.74
SALE,01/19/2015,01/21/2015,"EXXONMOBIL    97507875",-15.38
SALE,01/17/2015,01/18/2015,"LAMBERT'S RAINBOW",-9.94
SALE,01/05/2015,01/07/2015,"MOHAMED R. HASSAN",-28.02
SALE,01/03/2015,01/05/2015,"PATS PEAK F & B",-13.10
SALE,01/17/2015,01/19/2015,"MORRISSEY BLVD CITGO",-21.26
SALE,01/08/2015,01/11/2015,"GLOBE",-59.11
SALE,01/17/2015,01/19/2015,"TARGET        00018986",-37.18
SALE,01/04/2015,01/05/2015,"DICK'S CLOTHING&SPORTIN.",-91.33
SALE,01/13/2015,01/14/2015,"PLAZA FISH II",-10.11
SALE,01/03/2015,01/04/2015,"PATS PEAK RESORT",-49.00
SALE,01/07/2015,01/09/2015,"WACHUSETT MOUNTAIN (F&B)",-7.70
SALE,12/31/2014,01/02/2015,"PARTY CITY 6069",-4.24
SALE,01/26/2015,01/27/2015,"STOP & SHOP 0018",-28.24
SALE,01/12/2015,01/14/2015,"MCDONALD'S M5448 OF MA",-4.44
SALE,01/09/2015,01/11/2015,"CCI MITRE CORP",-1.82
SALE,01/04/2015,01/06/2015,"TJMAXX #0325",-49.97
SALE,01/23/2015,01/25/2015,"CCI MITRE CORP",-3.42
SALE,01/15/2015,01/18/2015,"AVANTI MARKETS",-3.65
SALE,01/19/2015,01/20/2015,"STOP & SHOP 0018",-58.83
SALE,01/12/2015,01/14/2015,"SHELL OIL 57543494108",-34.25
SALE,01/08/2015,01/11/2015,"LOLITA COCINA & TEQUILA",-29.82
SALE,01/13/2015,01/15/2015,"MORRISSEY BLVD CITGO",-17.96
SALE,01/19/2015,01/21/2015,"EXXONMOBIL    97507875",-4.45
SALE,01/25/2015,01/26/2015,"GROUPON INC",-49.00
SALE,01/02/2015,01/05/2015,"MOHAMED R. HASSAN",-34.20
SALE,01/13/2015,01/15/2015,"CCI MITRE CORP",-1.28
SALE,01/13/2015,01/15/2015,"CCI MITRE CORP",-6.69
SALE,01/22/2015,01/25/2015,"CCI MITRE CORP",-3.53
SALE,01/17/2015,01/18/2015,"STOP & SHOP 0018",-6.58
SALE,01/08/2015,01/11/2015,"SUBWAY ASHMONT",-20.00
SALE,01/17/2015,01/18/2015,"STOP & SHOP 0429",-30.95
SALE,01/16/2015,01/18/2015,"CCI MITRE CORP",-3.42
SALE,01/22/2015,01/25/2015,"MORRISSEY BLVD CITGO",-25.32
SALE,01/03/2015,01/05/2015,"PATS PEAK F & B",-2.75
SALE,01/18/2015,01/19/2015,"DUNKIN #350579     Q35",-6.19
SALE,01/17/2015,01/18/2015,"GOODWILL HARRISON",-6.31
SALE,01/13/2015,01/14/2015,"LAMBERT'S RAINBOW",-38.40
SALE,12/30/2014,01/01/2015,"PARTY CITY 6069",-10.61
SALE,01/12/2015,01/14/2015,"CCI MITRE CORP",-6.15
PAYMENT,01/28/2015,01/28/2015,"Payment Thank You - Web",321.97
PAYMENT,01/17/2015,01/18/2015,"Payment Thank You - Web",1033.54
SALE,01/26/2015,01/28/2015,"MORRISSEY BLVD CITGO",-24.30
SALE,01/24/2015,01/26/2015,"DUNKIN #304654     Q35",-8.32
SALE,01/03/2015,01/04/2015,"HIGHBALL LOUNGE",-21.26
