Type,Post Date,Description,Amount,Check or Slip #
DEBIT,11/10/2015,"DEPT EDUCATION   STUDENT LN 6KSH4G8RPF1     WEB ID: 9102001002",-800.00,
DEBIT,11/09/2015,"STOP & SHOP 0498 SOMERVILLE MA               11/08 Purchase $33.62 Cash Back $40.00",-73.62,
DEBIT,11/09/2015,"PAYPAL           INST XFER  UBERTECHNOL     WEB ID: PAYPALSI77",-16.46,
DEBIT,11/09/2015,"PAYPAL           INST XFER  UBERTECHNOL     WEB ID: PAYPALSI77",-5.22,
CREDIT,11/06/2015,"THE MITRE CORPOR DIR DEP                    PPD ID: 1042239742",2135.09,
DEBIT,11/06/2015,"Payment to Chase card ending in 2368 11/06",-1080.71,
DEBIT,11/06/2015,"Payment to Chase card ending in 1864 11/06",-412.38,
DEBIT,11/06/2015,"Payment to Chase card ending in 2823 11/06",-71.15,
CREDIT,11/05/2015,"VENMO-0          CASHOUT    117808439       CCD ID: 1264681992",14.23,
CHECK,11/05/2015,"CHECK 1095 ",-3600.00,1095
CREDIT,11/04/2015,"VENMO-0          CASHOUT    117241041       CCD ID: 1264681992",1081.94,
CREDIT,11/04/2015,"VENMO-0          CASHOUT    117448377       CCD ID: 1264681992",42.69,
CREDIT,11/03/2015,"VENMO-0          CASHOUT    116856885       CCD ID: 1264681992",1774.47,
DEBIT,11/03/2015,"EVERSOURCE       WEB_PAY    36257778110115  WEB ID: 1202042013",-87.97,
DEBIT,11/03/2015,"EVERSOURCE       WEB_PAY    36257779110115  WEB ID: 1202042013",-34.36,
CHECK,11/02/2015,"CHECK 1094 ",-74.78,1094
DEBIT,11/02/2015,"PAYPAL           INST XFER  SPOTIFYUSAI     WEB ID: PAYPALSI77",-9.99,
CREDIT,10/30/2015,"INTEREST PAYMENT",0.01,
DEBIT,10/29/2015,"DEPT EDUCATION   STUDENT LN 6KS1IVNO7E1     WEB ID: 9102001002",-800.00,
DEBIT,10/29/2015,"DEPT EDUCATION   STUDENT LN                 PPD ID: 9102001001",-400.00,
DEBIT,10/26/2015,"PAYPAL           INST XFER  UBERTECHNOL     WEB ID: PAYPALSI77",-7.51,
DEBIT,10/26/2015,"PAYPAL           INST XFER  UBERTECHNOL     WEB ID: PAYPALSI77",-6.03,
CREDIT,10/23/2015,"THE MITRE CORPOR DIR DEP                    PPD ID: 1042239742",2293.10,
DEBIT,10/19/2015,"STOP & SHOP 0498 SOMERVILLE MA               10/19 Purchase $85.54 Cash Back $40.00",-125.54,
DEBIT,10/13/2015,"Payment to Chase card ending in 2368 10/13",-2021.49,
DEBIT,10/13/2015,"PAYPAL           INST XFER  UBERTECHNOL     WEB ID: PAYPALSI77",-16.56,
DEBIT,10/13/2015,"PAYPAL           INST XFER  UBERTECHNOL     WEB ID: PAYPALSI77",-12.17,
DEBIT,10/13/2015,"PAYPAL           INST XFER  UBERTECHNOL     WEB ID: PAYPALSI77",-4.09,
CREDIT,10/09/2015,"THE MITRE CORPOR DIR DEP                    PPD ID: 1042239742",2293.09,
CREDIT,10/06/2015,"VENMO            CASHOUT    106903916       CCD ID: 1264681992",296.65,
CHECK,10/02/2015,"CHECK 1093 ",-3600.00,1093
DEBIT,10/01/2015,"PAYPAL           INST XFER  SPOTIFYUSAI     WEB ID: PAYPALSI77",-9.99,
CREDIT,09/30/2015,"VENMO            CASHOUT    104492599       CCD ID: 1264681992",2758.67,
DEBIT,09/30/2015,"EVERSOURCE       WEB_PAY    34841042092915  WEB ID: 1202042013",-131.88,
DEBIT,09/30/2015,"EVERSOURCE       WEB_PAY    34841043092915  WEB ID: 1202042013",-30.24,
CREDIT,09/30/2015,"INTEREST PAYMENT",0.03,
CREDIT,09/29/2015,"70 SUMMER ST BOSTON MA               144346  09/29",3.00,
DEBIT,09/29/2015,"NON-CHASE ATM WITHDRAW               144346  09/2970 SUMMER",-103.00,
DEBIT,09/29/2015,"DEPT EDUCATION   STUDENT LN                 PPD ID: 9102001001",-400.00,
DEBIT,09/28/2015,"Payment to Chase card ending in 2368 09/28",-2481.48,
DEBIT,09/28/2015,"PAYPAL           INST XFER  UBERTECHNOL     WEB ID: PAYPALSI77",-15.58,
CREDIT,09/25/2015,"399 HIGHLAND AVENUE SOMERVILLE MA    300465  09/25",3.00,
CREDIT,09/25/2015,"THE MITRE CORPOR DIR DEP                    PPD ID: 1042239742",2293.08,
CREDIT,09/25/2015,"THE MITRE CORPOR EMP EXP                    PPD ID: 1042239742",1260.71,
DEBIT,09/25/2015,"NON-CHASE ATM WITHDRAW               300465  09/25399 HIGHL",-43.00,
DEBIT,09/24/2015,"TOWN OF BROOKLINE BROOKLINE MA               09/22",-1.50,
CREDIT,09/23/2015,"70 SUMMER ST BOSTON MA               402960  09/23",3.00,
DEBIT,09/23/2015,"NON-CHASE ATM WITHDRAW               402960  09/2370 SUMMER",-103.00,
DEBIT,09/23/2015,"Payment to Chase card ending in 1864 09/23",-10.57,
DEBIT,09/23/2015,"Payment to Chase card ending in 2823 09/23",-384.36,
DEBIT,09/21/2015,"DAYTON 0544B DAYTON OH                       09/18",-6.98,
DEBIT,09/21/2015,"DEPT EDUCATION   STUDENT LN 6KPSLI561A1     WEB ID: 9102001002",-3200.00,
DEBIT,09/17/2015,"PAYPAL           INST XFER  UBERTECHNOL     WEB ID: PAYPALSI77",-25.78,
DEBIT,09/15/2015,"MT AUBURN HC LEXINGTON LEXINGTON MA          09/14",-20.00,
DEBIT,09/14/2015,"PAYPAL           INST XFER  UBERTECHNOL     WEB ID: PAYPALSI77",-29.56,
DEBIT,09/14/2015,"PAYPAL           INST XFER  BOINGOWIREL     WEB ID: PAYPALSI77",-4.95,
CREDIT,09/11/2015,"THE MITRE CORPOR DIR DEP                    PPD ID: 1042239742",2293.09,
DEBIT,09/08/2015,"NON-CHASE ATM WITHDRAW               001487  09/08G.FLORES",-205.00,
DEBIT,09/08/2015,"PAYPAL           INST XFER  UBERTECHNOL     WEB ID: PAYPALSI77",-24.88,
CHECK,09/04/2015,"CHECK 1092 ",-3600.00,1092
DEBIT,09/03/2015,"EVERSOURCE       WEB_PAY    33763021090115  WEB ID: 1202042013",-132.80,
DEBIT,09/03/2015,"EVERSOURCE       WEB_PAY    33763022090115  WEB ID: 1202042013",-30.93,
CREDIT,09/02/2015,"VENMO            CASHOUT    94854243        CCD ID: 1264681992",862.50,
CREDIT,09/02/2015,"VENMO            CASHOUT    95164893        CCD ID: 1264681992",127.44,
DEBIT,09/02/2015,"Payment to Chase card ending in 1864 09/02",-81.71,
DEBIT,09/02/2015,"Payment to Chase card ending in 2823 09/02",-535.72,
DEBIT,09/02/2015,"Payment to Chase card ending in 2368 09/02",-1244.90,
CREDIT,09/01/2015,"Transfer from CHK XXXXX9258",1260.00,
CREDIT,09/01/2015,"VENMO            CASHOUT    94754781        CCD ID: 1264681992",1012.50,
CREDIT,09/01/2015,"VENMO            CASHOUT    94641581        CCD ID: 1264681992",862.50,
CREDIT,09/01/2015,"VENMO            CASHOUT    94393830        CCD ID: 1264681992",51.01,
DEBIT,09/01/2015,"PAYPAL           INST XFER  SPOTIFYUSAI     WEB ID: PAYPALSI77",-9.99,
DEBIT,08/31/2015,"DEPT EDUCATION   STUDENT LN                 PPD ID: 9102001001",-400.00,
DEBIT,08/31/2015,"PAYPAL           INST XFER  UBERTECHNOL     WEB ID: PAYPALSI77",-3.36,
CREDIT,08/31/2015,"INTEREST PAYMENT",0.03,
CREDIT,08/28/2015,"THE MITRE CORPOR DIR DEP                    PPD ID: 1042239742",2293.09,
CHECK,08/18/2015,"CHECK 1030 ",-99.91,1030
CHECK,08/18/2015,"CHECK 1091 ",-32.99,1091
DEBIT,08/17/2015,"Payment to Chase card ending in 1864 08/17",-108.53,
DEBIT,08/17/2015,"Payment to Chase card ending in 2368 08/17",-1323.60,
DEBIT,08/17/2015,"Payment to Chase card ending in 2823 08/17",-1205.71,
CREDIT,08/14/2015,"THE MITRE CORPOR DIR DEP                    PPD ID: 1042239742",2293.09,
CREDIT,08/13/2015,"VENMO            CASHOUT    89047433        CCD ID: 1264681992",110.02,
DEBIT,08/13/2015,"#07563 STAR MARKET CAMBRIDGE MA              08/13 Purchase $44.76 Cash Back $60.00",-104.76,
DEBIT,08/12/2015,"CCI MITRE CORP HAVERHILL MA                  08/10",-2.51,
DEBIT,08/12/2015,"CCI MITRE CORP HAVERHILL MA                  08/10",-11.02,
DSLIP,08/10/2015,"REMOTE ONLINE DEPOSIT #          1",30.00,1
DEBIT,08/10/2015,"BARCELONA BROOKLINE BROOKLINE MA             08/09",-89.37,
DEBIT,08/10/2015,"STOP & SHOP 2411 SOMERVILLE MA       933638  08/10",-32.88,
DEBIT,08/10/2015,"BOSTON TATTOO CO. SOMERVILLE MA      898418  08/10",-50.00,
DEBIT,08/05/2015,"CCI MITRE CORP HAVERHILL MA                  08/03",-1.93,
DEBIT,08/05/2015,"CCI MITRE CORP HAVERHILL MA                  08/03",-1.93,
CHECK,08/05/2015,"CHECK 1029 ",-3600.00,1029
DEBIT,08/03/2015,"TAIPEI TOKYO CAFE SOMER SOMERVILLE MA        07/31",-23.75,
DEBIT,08/03/2015,"OCEAN STATE JOB LO MEDFORD MA        114038  08/01",-31.01,
DEBIT,08/03/2015,"MCKINNON'S MEAT MARKET SOMERVILLE MA 953217  08/01",-22.10,
