Type,Trans Date,Post Date,Description,Amount
Payment,11/06/2015,11/06/2015,"Payment Thank You - Web",71.15
Sale,11/04/2015,11/04/2015,"COMCAST BOSTON CS 1X",-71.15
Sale,10/15/2015,10/16/2015,"VZWRLSS*APOCC VISN",-108.19
Sale,09/30/2015,09/30/2015,"COMCAST BOSTON CS 1X",-71.15
Payment,09/23/2015,09/23/2015,"Payment Thank You-Mobile",384.36
Sale,09/18/2015,09/20/2015,"VERIZON WRLS MYACCT VN",-116.19
Sale,09/02/2015,09/02/2015,"COMCAST BOSTON CS 1X",-71.15
Payment,09/02/2015,09/02/2015,"Payment Thank You-Mobile",535.72
Sale,09/01/2015,09/02/2015,"WWW.EMS.COM",-152.96
Sale,08/31/2015,09/01/2015,"MAH PARKING GARAGE",-4.00
Sale,08/31/2015,09/01/2015,"DERMATOLOGY ASSOC OF CO",-30.00
Sale,08/30/2015,09/01/2015,"WHITE MOUNTAIN CREAMERY",-10.06
Sale,08/29/2015,08/30/2015,"DOWNTOWN WINE & SPIRITS",-14.00
Sale,08/29/2015,08/31/2015,"TJMAXX #0470",-43.52
Sale,08/29/2015,08/30/2015,"TRADER JOE'S #517  QPS",-39.82
Sale,08/28/2015,08/30/2015,"GOODWILL SOMERVILLE",-13.09
Sale,08/28/2015,08/30/2015,"HARVARD SQ EYE CARE",-60.00
Sale,08/28/2015,08/30/2015,"CCI MITRE CORP",-5.89
Sale,08/28/2015,08/30/2015,"CCI MITRE CORP",-1.93
Sale,08/27/2015,08/30/2015,"CCI MITRE CORP",-1.93
Sale,08/27/2015,08/30/2015,"SUBWAY DAVIS SQUARE",-20.00
Sale,08/27/2015,08/28/2015,"Y-NOT VARIETY",-9.99
Sale,08/26/2015,08/28/2015,"CCI MITRE CORP",-1.23
Sale,08/25/2015,08/27/2015,"CCI MITRE CORP",-1.93
Sale,08/25/2015,08/27/2015,"The Wine Press",-15.99
Sale,08/25/2015,08/27/2015,"EXXONMOBIL    97444343",-32.35
Sale,08/25/2015,08/26/2015,"WAYFAIR*Wayfair",-138.95
Sale,08/23/2015,08/24/2015,"#07563 STAR MARKET",-110.59
Sale,08/23/2015,08/24/2015,"MR CREPE",-13.86
Sale,08/23/2015,08/24/2015,"JP LICKS AT DAVIS",-6.15
Sale,08/18/2015,08/20/2015,"AVANTI MARKETS",-4.50
Payment,08/17/2015,08/17/2015,"Payment Thank You-Mobile",1205.71
Sale,08/13/2015,08/16/2015,"AVANTI MARKETS",-5.50
Sale,08/13/2015,08/16/2015,"AVANTI MARKETS",-4.50
Sale,08/12/2015,08/13/2015,"USPS 24056107332403800",-5.33
Sale,08/12/2015,08/14/2015,"EXXONMOBIL    97444343",-32.35
Sale,08/11/2015,08/13/2015,"CCI MITRE CORP",-1.71
Sale,08/11/2015,08/13/2015,"SUBWAY DAVIS SQUARE",-20.00
Sale,08/10/2015,08/12/2015,"VERIZON WRLS MYACCT VN",-110.90
Sale,08/08/2015,08/09/2015,"DOWNTOWN WINE & SPIRITS",-18.00
Sale,08/08/2015,08/09/2015,"CHIPOTLE 1036",-11.88
Sale,08/07/2015,08/09/2015,"CCI MITRE CORP",-1.93
Sale,08/03/2015,08/05/2015,"THE BIKEWAY SOURCE",-15.00
Sale,08/03/2015,08/04/2015,"GULF OIL 92040111",-29.90
Sale,08/02/2015,08/04/2015,"FERNS COUNTRY STORE",-5.50
Sale,08/02/2015,08/04/2015,"TEDESCHI FOOD 33880022",-3.98
Sale,08/02/2015,08/04/2015,"NORTHSIDE CONVENIENCE",-1.99
Sale,07/31/2015,08/02/2015,"CCI MITRE CORP",-8.29
Sale,07/31/2015,08/02/2015,"CCI MITRE CORP",-2.41
Sale,07/30/2015,08/02/2015,"CCI MITRE CORP",-1.93
Sale,07/29/2015,07/31/2015,"MCKINNON'S MEAT MARKET",-6.48
Sale,07/29/2015,07/30/2015,"RITE AID STORE - 10162",-109.24
Sale,07/28/2015,07/30/2015,"CCI MITRE CORP",-2.78
Sale,07/28/2015,07/30/2015,"SOMERVILLE MA PARKING W",-55.00
Sale,07/28/2015,07/29/2015,"SPORTS AUTHORITY 0174",-127.51
Sale,07/27/2015,07/29/2015,"CCI MITRE CORP",-1.93
Sale,07/26/2015,07/28/2015,"EXXONMOBIL    97447494",-10.65
Sale,07/26/2015,07/28/2015,"SUNOCO 0845973700",-4.39
Sale,07/26/2015,07/27/2015,"DUXBURY PACKAGE STORE",-5.00
Sale,07/26/2015,07/28/2015,"EXXONMOBIL    97447494",-29.83
Sale,07/26/2015,07/27/2015,"GULF OIL 91805449",-6.00
Sale,07/25/2015,07/27/2015,"SUBWAY DAVIS SQUARE",-20.00
Sale,07/25/2015,07/27/2015,"MOISON ACE HARDWARE",-28.14
Sale,07/25/2015,07/27/2015,"MCKINNON'S MEAT MARKET",-28.36
Sale,07/25/2015,07/26/2015,"PANERA BREAD #607001",-12.06
Sale,07/25/2015,07/27/2015,"VERIZON WRLS D5460-01",-75.78
Sale,07/25/2015,07/27/2015,"WEGMANS BURLINGTON #59",-54.04
Sale,07/24/2015,07/26/2015,"DUNKIN #340315     Q35",-1.81
Sale,07/24/2015,07/26/2015,"AVANTI MARKETS",-2.75
Sale,07/24/2015,07/26/2015,"CCI MITRE CORP",-1.93
Sale,07/24/2015,07/27/2015,"THE BOSTON LANGUAGE INSTI",-339.00
Sale,07/23/2015,07/26/2015,"CCI MITRE CORP",-1.93
Payment,07/19/2015,07/19/2015,"Payment Thank You - Web",9.63
