Type,Trans Date,Post Date,Description,Amount
SALE,08/15/2015,08/17/2015,"STATIONNEMENT TREMBLANT",-6.92
SALE,10/03/2015,10/04/2015,"THE CATERED AFFAIR",-2.41
SALE,10/13/2015,10/15/2015,"HANAF POOL",-4.00
SALE,10/15/2015,10/16/2015,"MIKES RESTAURANT",-35.15
SALE,09/25/2015,10/04/2015,"CCI MITRE CORP",-1.61
SALE,08/22/2015,08/23/2015,"BOSTON TATTOO CO.",-300.00
SALE,09/28/2015,09/30/2015,"MCKINNON'S MEAT MARKET",-16.94
SALE,09/12/2015,09/16/2015,"GUNS LEATHER         0165",-64.14
SALE,11/05/2015,11/06/2015,"SQ *NELLIE'S WILDFLOWERS",-10.63
SALE,08/19/2015,08/21/2015,"AVANTI MARKETS",-5.00
SALE,09/25/2015,09/27/2015,"TITAN GAS STATION",-28.17
SALE,09/12/2015,09/16/2015,"DELICITY             0331",-12.61
SALE,09/05/2015,09/09/2015,"VOLTA                9958",-2.36
SALE,09/02/2015,09/04/2015,"CCI MITRE CORP",-6.79
SALE,09/30/2015,10/01/2015,"DORCHESTER TIRE SVC",-1333.63
SALE,09/26/2015,09/28/2015,"TAIPEI TOKYO CAFE SOMERVI",-24.85
SALE,09/17/2015,09/20/2015,"AAFES WPT EINSTEINS",-8.15
SALE,09/13/2015,09/14/2015,"TITAN GAS STATION",-27.50
SALE,09/13/2015,09/14/2015,"EUROPAN CAFE",-15.22
SALE,09/17/2015,09/18/2015,"STARBUCKS #10516 FAIRBORN",-5.05
SALE,09/24/2015,10/04/2015,"CCI MITRE CORP",-7.28
SALE,09/27/2015,09/29/2015,"THE HOME DEPOT 2667",-10.61
PAYMENT,09/26/2015,09/27/2015,"Payment Thank You-Mobile",2481.48
SALE,09/29/2015,09/30/2015,"LAMBERT'S RAINBOW",-49.84
SALE,11/03/2015,11/05/2015,"MCKINNON'S MEAT MARKET",-9.81
SALE,09/04/2015,09/06/2015,"HUDSONNEWS  ST382",-5.18
SALE,10/19/2015,10/21/2015,"CCI MITRE CORP",-6.69
SALE,09/16/2015,09/18/2015,"JAZZ BAR LIQUO22630107",-11.49
SALE,09/14/2015,09/16/2015,"UNITED      0167679586241",-832.85
SALE,09/18/2015,09/20/2015,"BARNES & NOBLE #2873",-2.67
SALE,10/06/2015,10/07/2015,"MUNICIPAL CITATION SOLU",-43.00
SALE,07/22/2015,07/24/2015,"AMERICAN AI 0010615392826",-149.28
SALE,09/22/2015,09/24/2015,"MARKET@WORK 2067379149",-2.25
SALE,09/20/2015,09/21/2015,"CHIPOTLE 1036",-9.95
SALE,09/29/2015,10/01/2015,"MARKET@WORK 2067379149",-3.65
SALE,10/16/2015,10/18/2015,"CCI MITRE CORP",-2.57
SALE,11/04/2015,11/05/2015,"ACT*ACTIVE-NETWORK",-30.00
SALE,09/29/2015,09/30/2015,"HERB CHAMBERS TOYO",-20.00
SALE,10/12/2015,10/14/2015,"CCI MITRE CORP",-2.51
SALE,10/20/2015,10/21/2015,"DOWNTOWN WINE & SPIRITS",-10.99
SALE,09/13/2015,09/14/2015,"EUROPAN CAFE",-4.62
SALE,08/21/2015,08/23/2015,"STAPLES       00101782",-49.19
SALE,08/15/2015,08/18/2015,"SHELL 231 RUE DE ST-JOVIT",-35.80
SALE,10/06/2015,10/08/2015,"EXXONMOBIL    97444343",-2.99
SALE,09/04/2015,09/06/2015,"HUDSONNEWS ST1298",-18.50
SALE,11/02/2015,11/03/2015,"TST* DIESEL CAFE",-3.48
SALE,09/15/2015,09/16/2015,"FIVE HORSES TAVERN",-63.50
SALE,08/31/2015,09/03/2015,"WWW.DIRECCION NAC MIG5850",-159.79
SALE,11/05/2015,11/08/2015,"CCI MITRE CORP",-2.78
SALE,09/23/2015,09/24/2015,"CVS/PHARMACY #08319",-75.68
