Type,Trans Date,Post Date,Description,Amount
Sale,11/10/2015,11/10/2015,"Amazon.com",-14.44
Sale,11/09/2015,11/10/2015,"AMAZON MKTPLACE PMTS",-67.00
Sale,11/09/2015,11/09/2015,"AMAZON MKTPLACE PMTS",-26.25
Payment,11/06/2015,11/06/2015,"Payment Thank You - Web",412.38
Sale,11/04/2015,11/05/2015,"AMAZON MKTPLACE PMTS",-13.99
Sale,10/28/2015,10/28/2015,"AMAZON MKTPLACE PMTS",-12.00
Sale,10/28/2015,10/28/2015,"Amazon.com",-18.23
Sale,10/28/2015,10/28/2015,"AMAZON MKTPLACE PMTS",-27.00
Sale,10/28/2015,10/28/2015,"AMAZON MKTPLACE PMTS",-20.26
Sale,10/27/2015,10/28/2015,"AMAZON MKTPLACE PMTS",-37.87
Sale,10/24/2015,10/25/2015,"Amazon.com",-21.24
Sale,10/24/2015,10/25/2015,"AmazonPrime Membership",-49.00
Sale,10/23/2015,10/23/2015,"Amazon.com",-21.24
Sale,10/12/2015,10/12/2015,"AMAZON MKTPLACE PMTS",-152.99
Sale,10/12/2015,10/13/2015,"AMAZON MKTPLACE PMTS",-29.99
Sale,10/11/2015,10/12/2015,"Amazon.com",-74.36
Sale,10/11/2015,10/11/2015,"Amazon.com",-100.93
Sale,10/07/2015,10/08/2015,"Amazon.com",-16.98
Sale,10/07/2015,10/08/2015,"Amazon.com",-5.13
Sale,10/01/2015,10/01/2015,"AMAZON MKTPLACE PMTS",-32.00
Payment,09/23/2015,09/23/2015,"Payment Thank You-Mobile",10.57
Sale,09/21/2015,09/22/2015,"Amazon.com",-10.57
Payment,09/02/2015,09/02/2015,"Payment Thank You-Mobile",81.71
Sale,08/31/2015,09/01/2015,"Amazon.com",-9.01
Sale,08/28/2015,08/30/2015,"Amazon.com",-29.84
Sale,08/20/2015,08/20/2015,"Amazon.com",-27.60
Sale,08/19/2015,08/19/2015,"AMAZON MKTPLACE PMTS",-6.57
Sale,08/19/2015,08/20/2015,"AMAZON MKTPLACE PMTS",-8.69
Payment,08/17/2015,08/17/2015,"Payment Thank You-Mobile",108.53
Sale,08/11/2015,08/13/2015,"AVANTI MARKETS",-4.50
Sale,08/11/2015,08/11/2015,"COMCAST BOSTON CS 1X",-71.15
Sale,08/09/2015,08/10/2015,"AMAZON MKTPLACE PMTS",-15.93
Payment,07/23/2015,07/23/2015,"Payment Thank You - Web",587.21
Sale,07/22/2015,07/24/2015,"MCKINNON'S MEAT MARKET",-1.99
Sale,07/22/2015,07/24/2015,"CCI MITRE CORP",-1.71
Sale,07/22/2015,07/23/2015,"RITE AID STORE - 10162",-1.98
Sale,07/22/2015,07/23/2015,"CORNWALLS",-9.56
Sale,07/21/2015,07/23/2015,"CCI MITRE CORP",-1.71
